번호	분류	난이도	질문 시나리오	기대 검색 문서	정답에 포함되어야 할 핵심 요소
1	낙반/중대재해	상	광산에서 작업자가 낙반으로 사망한 경우 사업주나 경영책임자가 확인해야 할 의무는 무엇인가?	중대재해처벌법, 중대재해처벌법 시행령, 산업안전보건법, 광산안전법, 광산안전기술기준, 안전보건관리체계 구축 가이드북	중대산업재해 해당 가능성, 경영책임자 안전보건 확보의무, 안전보건관리체계 구축·이행 점검, 사고 원인 조사, 재발방지대책, 작업중지·대피, 낙반 위험 점검, 관련 법령·지침 근거 제시
2	낙반/지보	상	채굴 작업 중 지보재가 변형되고 갱도 바닥에 낙석 흔적이 있는데, 작업 재개 전 어떤 점검 절차를 밟아야 해?	광산 안전 지침, 광산안전기술기준, 위험성평가 안내서	지보 상태 확인, 낙반 위험성 재평가, 보강 작업, 작업허가/승인, 재해 위험 제거 전 작업 금지, 점검 기록
3	발파	중	발파 작업 전에 현장 관리자가 작업자와 주변 설비를 대상으로 확인해야 할 안전 체크리스트를 알려줘.	광산 안전 지침, 광산안전기술기준, 산업안전보건법	발파 계획 확인, 대피 범위 설정, 경보/신호, 출입 통제, 화약류 취급자 확인, 불발 여부 확인, 보호구 착용
4	발파/불발	상	발파 후 불발이 의심되는 상황에서 굴진 작업자가 바로 접근하려고 하는데 관리자는 어떤 조치를 해야 해?	광산 안전 지침, 광산안전기술기준, 광산안전법	접근 금지, 대기 시간 준수, 발파 책임자 확인, 불발 처리 절차, 출입 통제, 작업 재개 승인, 사고 예방 교육
5	환기	중	갱내 작업을 시작하기 전에 환기 상태가 충분한지 관리자가 확인해야 할 기준과 절차는 뭐야?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	환기설비 가동 확인, 풍량/풍속 점검, 유해가스 측정, 산소 농도 확인, 이상 시 작업중지, 기록 관리
6	환기/비상	상	정전으로 주 환기설비가 멈췄을 때 갱내 작업자를 어떻게 대피시키고 작업 재개는 언제 판단해야 해?	광산 안전 지침, 광산안전기술기준, 광산안전법	즉시 작업중지, 비상 연락, 대피 유도, 보조 환기 확인, 가스 측정, 설비 복구 후 안전 확인, 재개 승인
7	유해가스	중	메탄가스 농도가 평소보다 높게 측정됐을 때 현장 관리자는 어떤 순서로 조치해야 해?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	가스 농도 측정, 기준 초과 여부, 점화원 차단, 작업중지, 대피, 환기 강화, 재측정, 보고
8	유해가스/산소결핍	상	폐갱도 인근에서 산소 농도 저하와 일산화탄소 가능성이 의심될 때 작업 투입 전에 무엇을 확인해야 해?	광산 안전 지침, 산업안전보건법, 광산안전기술기준	산소/CO 등 측정, 밀폐공간 위험 확인, 환기, 감시인 배치, 구조장비, 보호구, 작업허가, 비상구조 계획
9	운반차량	중	갱내 운반차량과 보행 작업자가 같은 통로를 이용할 때 충돌을 막기 위한 관리 기준은 뭐야?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	동선 분리, 속도 제한, 신호수/경보장치, 조명, 후진 경보, 통행 규칙, 교육, 점검
10	운반차량/경사로	상	경사 갱도에서 광차 또는 운반장비가 미끄러질 위험이 있을 때 작업 전 점검해야 할 항목을 알려줘.	광산 안전 지침, 광산안전기술기준, 위험성평가 안내서	제동장치, 연결장치, 궤도/노면 상태, 적재 중량, 경사로 통제, 이탈 방지, 비상정지, 작업 전 점검 기록
11	장비정비	중	컨베이어 벨트 정비 중 끼임 사고를 막으려면 정비 전 관리자가 무엇을 확인해야 해?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	전원 차단, 잠금/표지, 불시 가동 방지, 잔류에너지 제거, 방호장치, 정비 절차, 작업자 교육
12	장비정비/전기	상	갱내 전기설비를 점검해야 하는데 습기가 많고 누전 우려가 있어. 감전 예방 조치는 어떻게 세워야 해?	산업안전보건법, 광산안전기술기준, 광산 안전 지침	전원 차단, 절연 상태, 접지, 누전차단기, 방폭/방수 설비, 보호구, 출입 통제, 자격자 작업
13	보호구	하	작업자가 안전모와 방진마스크를 착용하지 않고 갱내 작업장에 들어가려 할 때 관리자는 어떻게 해야 해?	산업안전보건법, 광산 안전 지침, 안전보건관리체계 구축 가이드북	보호구 착용 의무, 미착용자 작업 제한, 지급/착용 상태 확인, 교육, 관리감독자 확인, 기록
14	보호구/호흡보호	중	분진이 많은 굴진 작업에서 방진마스크를 어떤 기준으로 지급하고 착용 상태를 확인해야 해?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	분진 위험 확인, 적정 보호구 선정, 밀착 착용, 교체 주기, 교육, 작업 중 착용 점검, 건강장해 예방
15	안전교육	중	신규 작업자를 갱내 작업에 투입하기 전 반드시 교육해야 할 광산 안전 항목은 뭐야?	산업안전보건법, 광산 안전 지침, 안전보건관리체계 구축 가이드북	신규채용 교육, 작업위험, 대피로, 유해가스, 발파/낙반 위험, 보호구, 비상연락, 교육 기록
16	안전교육/특별작업	중	발파 보조 작업에 처음 투입되는 근로자에게 일반 안전교육 외에 어떤 특별 교육이 필요해?	산업안전보건법, 광산안전기술기준, 광산 안전 지침	작업별 위험요인, 발파 신호, 대피 절차, 화약류 접근 제한, 불발 대응, 작업지휘 체계, 교육 이수 확인
17	작업중지	중	갱내에서 유해가스 경보가 울렸는데 일부 작업자가 마무리 작업을 하겠다고 할 때 관리자는 어떤 기준으로 작업중지를 지시해야 해?	산업안전보건법, 광산안전법, 광산 안전 지침	급박한 위험, 즉시 작업중지, 대피, 위험 제거, 재측정, 재개 전 승인, 작업자 보호 우선
18	작업중지/재개	상	낙반 위험으로 작업을 중지한 뒤 다시 작업을 시작하려면 어떤 확인과 승인 절차가 필요해?	광산 안전 지침, 광산안전기술기준, 산업안전보건법, 위험성평가 안내서	위험요인 제거, 지보/천반 점검, 위험성 재평가, 작업계획 변경, 근로자 공유, 관리감독자 승인, 기록
19	사고보고	중	갱내 운반차량 접촉사고로 작업자가 다쳤을 때 현장 관리자는 먼저 무엇을 하고 어디까지 보고해야 해?	산업안전보건법, 광산안전법, 광산 안전 지침	응급조치, 추가 위험 차단, 작업중지, 현장 보존, 내부 보고, 관계기관 보고 필요성, 사고 조사, 재발방지
20	사고보고/중대재해	상	사망 또는 중대부상 가능성이 있는 사고가 발생했을 때 중대재해처벌법 대응 관점에서 즉시 챙겨야 할 사항은 뭐야?	중대재해처벌법, 산업안전보건법, 안전보건관리체계 구축 가이드북	인명 구조, 작업중지, 사고 보고, 현장 보존, 경영책임자 보고, 안전보건관리체계 작동 확인, 재발방지 대책, 기록 확보
21	중대재해처벌법 책임	상	광산 사업장의 경영책임자가 중대재해처벌법상 안전보건 확보의무를 다하려면 어떤 체계를 갖춰야 해?	중대재해처벌법, 안전보건관리체계 구축 가이드북, 산업안전보건법	안전보건 목표, 전담 조직/인력, 예산, 위험요인 확인/개선, 점검 체계, 교육, 도급 관리, 이행 기록
22	중대재해처벌법/도급	상	외주 정비업체가 갱내 설비를 수리할 때 원청 광산 관리자가 중대재해처벌법 관점에서 확인해야 할 것은 뭐야?	중대재해처벌법, 안전보건관리체계 구축 가이드북, 산업안전보건법	도급/용역 안전관리, 위험정보 제공, 작업협의, 보호구/교육 확인, 작업허가, 비상대응, 이행 점검, 기록
23	위험성평가	중	새로운 굴진 구간 작업을 시작하기 전 위험성평가는 어떤 항목과 순서로 해야 해?	위험성평가 안내서, 산업안전보건법, 안전보건관리체계 구축 가이드북	작업 분류, 유해위험요인 파악, 가능성/중대성 평가, 감소대책 수립, 근로자 참여, 결과 공유, 개선 이행
24	위험성평가/수시평가	상	작업 방식이 바뀌고 새 장비가 투입되는 경우 기존 위험성평가를 그대로 써도 되는지, 어떤 추가 평가가 필요한지 알려줘.	위험성평가 안내서, 산업안전보건법, 안전보건관리체계 구축 가이드북	변경 시 수시평가, 신규 위험요인, 장비 위험, 교육, 작업절차 개정, 개선대책, 근로자 의견, 기록 갱신
25	광산안전법	중	광산안전법 관점에서 광산 관리자가 일상적으로 점검하고 기록해야 할 안전관리 사항은 뭐야?	광산안전법, 광산안전기술기준, 광산 안전 지침	안전규정 준수, 시설/장비 점검, 갱내 환경, 교육, 사고 예방, 보고, 기록 보존, 책임자 역할
26	광산안전기술기준	중	갱내 통로, 조명, 표지판, 대피로를 점검할 때 광산안전기술기준상 어떤 요소를 봐야 해?	광산안전기술기준, 광산 안전 지침	통로 확보, 조명, 위험표지, 대피로/비상구, 장애물 제거, 통신/경보, 정기 점검, 근로자 안내
27	비상대응	중	갱내 화재 또는 연기 발생 가능성이 있을 때 현장 관리자가 즉시 가동해야 할 비상대응 절차는 뭐야?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	경보, 작업중지, 대피, 환기 제어, 소화/초동조치 가능 범위, 구조 연락, 인원 확인, 재진입 금지
28	분진/건강장해	중	굴진과 파쇄 작업에서 분진 노출을 줄이기 위해 관리자가 작업 전후로 확인해야 할 사항은 뭐야?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	분진 발생원 관리, 살수/집진, 환기, 방진마스크, 노출 관리, 작업환경 측정 가능성, 건강보호, 교육
29	관리감독자 역할	중	현장 관리감독자가 매일 작업 시작 전 실시해야 할 광산 안전 점검 회의 내용은 어떻게 구성하면 좋아?	산업안전보건법, 안전보건관리체계 구축 가이드북, 광산 안전 지침	작업계획 공유, 위험요인 확인, 보호구, 장비/환기/가스 점검, 작업중지 기준, 비상연락, 근로자 의견, 기록
30	종합 시나리오	상	발파 후 환기가 충분하지 않고 운반차량까지 투입해야 하는 복합 작업 상황에서 관리자는 어떤 순서로 위험을 통제해야 해?	광산 안전 지침, 광산안전기술기준, 산업안전보건법, 위험성평가 안내서	복합 위험성평가, 발파 후 대기/불발 확인, 가스 측정, 환기 확인, 차량 동선 통제, 작업허가, 단계별 재개, 기록
31	TBM(툴박스 미팅)	중	작업 시작 전에 TBM 공정별 위험요인을 공유할 때 관리자가 먼저 확인해야 할 항목은 무엇인가?	TBM, 위험성평가, 작업전 안전회의, 작업계획, 공정관리	TBM 공정별 위험요인, 작업전 공유사항, 작업중지 기준, 비상연락, 교육 확인
32	TBM(툴박스 미팅)	중	TBM 작업 전 안전회의에서 작업자에게 무엇을 우선적으로 안내해야 하나?	TBM, 작업전 안전회의, 대피로, 유해가스, 보호구	작업자 안내사항, 대피로, 유해가스, 보호구, 비상연락
33	TBM(툴박스 미팅)	중	TBM 굴진 전 작업 계획 변경이 있는 경우 관리자가 다시 확인해야 할 사항은 무엇인가?	TBM, 작업계획 변경, 위험성평가, 공정관리	작업계획 변경, 위험성평가 갱신, 작업허가, 교육, 기록
34	발파/불발	중	발파 전 주변 작업자에게 불발 가능성을 어떻게 공유하고 통제해야 하나?	발파, 불발, 출입통제, 작업자 공유	불발 가능성 공유, 출입통제, 대피, 경보, 작업중지 기준
35	발파/불발	중	불발 의심 구역에서 작업 재개 전 관리자가 확인해야 할 최소 기준은 무엇인가?	불발, 발파, 재개, 작업허가	불발 확인, 대기시간, 책임자 승인, 재개 조건, 기록
36	발파/불발	중	발파 후 잔류약이 있을 수 있는 구간에서 작업자를 투입하기 전에 무엇을 확인해야 하나?	발파, 잔류약, 작업중지, 대피	잔류약 확인, 접근금지, 대피, 작업중지, 보고
37	환기/유해가스	중	환기 설비를 가동한 뒤에도 가스 농도가 높은 경우 작업 시작 전 무엇을 먼저 해야 하나?	환기, 유해가스, 가스측정, 재측정	환기 재점검, 가스측정, 재측정, 작업중지, 대피
38	환기/유해가스	중	메탄 농도 급상승 시 작업 중인 근로자에게 관리자가 즉시 알려야 할 내용은 무엇인가?	메탄, 환기, 작업중지, 대피	즉시 대피, 작업중지, 환기 강화, 보고
39	환기/유해가스	중	폐쇄 구간에서 산소 농도 저하가 의심될 때 관리자가 우선 확인해야 할 항목은 무엇인가?	산소결핍, 환기, 가스측정, 보호구	산소 측정, 환기, 보호구, 작업중지
40	굴진/낙반/지보	중	지보재 설치 후 천반 균열이 늘어나고 있다면 작업 재개 전 무엇을 확인해야 하나?	지보, 낙반, 균열, 작업재개	지보 상태, 균열 확인, 낙반 위험, 작업중지, 보강
41	굴진/낙반/지보	중	굴진 중 천반이 흔들릴 때 관리자가 작업자에게 지시해야 할 조치는 무엇인가?	낙반, 천반, 작업중지, 대피	작업중지, 대피, 지보 점검, 작업 재개 승인
42	굴진/낙반/지보	중	지보공 주변에 부석이 쌓였다면 작업 전 어떤 절차를 거쳐야 하나?	낙반, 지보, 부석, 작업전 점검	부석 제거, 지보 확인, 작업허가, 기록
43	보호구/PPE	중	분진이 많이 나는 굴진 구간에서 방진마스크를 제대로 착용하지 않는 작업자에게 관리자가 어떻게 대응해야 하나?	분진, 방진마스크, 보호구, 작업제한	보호구 지급, 착용 확인, 작업 제한, 교육
44	보호구/PPE	중	분진 발생 구간에서 작업 중 보호구 상태가 바뀌었을 때 관리자가 확인해야 할 것은 무엇인가?	분진, 보호구, 착용상태, 점검	보호구 점검, 교체, 작업중지, 교육
45	보호구/PPE	중	작업 시작 전 보호구 지급 현황을 확인할 때 관리자가 반드시 체크해야 할 항목은 무엇인가?	보호구, 지급현황, 작업전 확인	보호구 지급, 착용 상태, 기록, 교육
46	보호구/PPE	중	갱내 작업 중 안전모가 파손된 경우 관리자가 어떻게 조치해야 하나?	안전모, 보호구, 작업중지, 교체	안전모 교체, 작업중지, 교육, 기록
47	TBM(툴박스 미팅)	중	작업 시작 전에 작업자와 안전담당자 사이에 어떤 위험 정보가 공유되어야 하나?	작업전 안전회의, 위험정보 공유, 작업계획	위험정보 공유, 작업계획, 비상연락, 기록
48	환기/유해가스	중	유해가스 측정 결과가 기준 이하라도 작업 중 상태 변화를 어떻게 확인해야 하나?	유해가스, 가스측정, 모니터링, 작업중	작업 중 모니터링, 재측정, 보고, 재개 조건
49	굴진/낙반/지보	중	지보공 설치가 늦어질 때 작업 재개 전 무엇을 우선 확인해야 하나?	지보, 낙반, 재개, 작업허가	지보 상태, 재개 승인, 작업중지, 기록
50	보호구/PPE	중	분진이 많은 구간에서는 작업 전 어떤 환경 관리를 우선해야 하나?	분진, 환기, 살수, 보호구	환기, 살수, 방진마스크, 작업 전 환경 관리
51	TBM(툴박스 미팅)	중	TBM 작업 전 작업자에게 작업중지 기준을 어떻게 알려야 하나?	TBM, 작업중지, 안전회의, 안내	작업중지 기준, 대피, 비상연락, 교육
52	발파/불발	중	발파 구역 주변에 작업자가 남아 있으면 관리자가 어떤 조치를 해야 하나?	발파, 출입통제, 대피, 작업중지	출입통제, 대피, 작업중지, 경보
53	환기/유해가스	중	환기 장치 고장 시 작업자에게 무엇을 먼저 안내해야 하나?	환기, 고장, 작업중지, 대피	환기 고장, 작업중지, 대피, 보고
54	굴진/낙반/지보	중	작업 중 천반이 내려앉을 위험이 있을 때 어떤 즉시 조치가 필요한가?	낙반, 천반, 즉시조치, 대피	즉시 대피, 작업중지, 지보 점검, 보고
55	보호구/PPE	중	작업 전 보호구 미착용 상태를 발견했을 때 관리자가 즉시 해야 할 행동은 무엇인가?	보호구, 미착용, 작업제한	작업 제한, 보호구 착용, 교육, 기록
56	TBM(툴박스 미팅)	중	작업 전 안전회의에서 위험성평가 결과를 공유하지 않으면 어떤 문제가 생길 수 있는가?	안전회의, 위험성평가, 결과 공유	위험성평가 결과 공유, 작업계획, 교육, 기록
57	발파/불발	중	불발 의심 구역에서 작업자들이 접근하려는 경우 관리자가 어떤 의사결정을 해야 하나?	불발, 접근금지, 작업중지	접근금지, 작업중지, 책임자 승인, 보고
58	환기/유해가스	중	유해가스 농도 변동이 심한 구간에서 작업 전 무엇을 확인해야 하나?	유해가스, 가스측정, 모니터링	가스측정, 모니터링, 작업중지, 재측정
59	굴진/낙반/지보	중	지보공이 손상된 상태에서 작업자가 접근하려 할 때 관리자가 우선 해야 할 조치는 무엇인가?	지보, 손상, 작업중지, 대피	작업중지, 대피, 지보 점검, 기록
60	보호구/PPE	중	분진이 많은 구간에서 방진마스크 착용 여부를 어떻게 관리해야 하나?	분진, 방진마스크, 착용관리	착용관리, 점검, 교육, 작업 제한
61	TBM(툴박스 미팅)	중	작업 전 안전회의에서 작업 재개 조건을 누가 최종 확인해야 하는가?	안전회의, 재개조건, 승인	재개 조건 확인, 승인, 기록
62	발파/불발	중	발파 후 재진입 전에 관리자가 확인해야 할 가장 중요한 사항은 무엇인가?	발파, 재진입, 안전확인	재진입 전 안전확인, 대기시간, 보고, 기록
63	환기/유해가스	중	작업 전 환기 상태가 불안정할 때 어떤 조치를 우선해야 하나?	환기, 불안정, 작업중지	환기 보완, 작업중지, 재측정, 확인
64	굴진/낙반/지보	중	지보재 설치가 끝난 뒤 작업자에게 공유해야 할 정보는 무엇인가?	지보, 작업자 공유, 안전정보	보강 상태, 재개 조건, 위험정보 공유, 기록
65	보호구/PPE	중	분진 노출이 우려되는 작업에서 관리자가 작업자에게 무엇을 반드시 안내해야 하나?	분진, 보호구, 작업자 안내	작업자 안내, 방진마스크, 환기, 보고
66	전기안전	중	전기설비 점검 전 차단·잠금·표지 절차를 꼭 확인해야 하는 이유는 무엇인가?	전기, 차단, 잠금표지, 점검	전원 차단, 잠금표지, 점검, 교육
67	전기안전	중	감전 위험이 있는 습기 많은 구간에서 작업 전 관리자가 확인해야 할 항목은 무엇인가?	감전, 습기, 절연, 보호구	절연 상태, 보호구, 전원 차단, 작업중지
68	전기안전	중	누전차단기 트립이 발생했을 때 작업자에게 먼저 알려야 할 내용은 무엇인가?	누전차단기, 감전, 전원차단	전원 차단, 재점검, 보고, 작업중지
69	전기안전	중	방폭형 설비 근처에서 작업을 시작하기 전 어떤 점검이 필요한가?	방폭, 전기설비, 점검	방폭 설비 점검, 전원 차단, 보호구, 작업허가
70	장비/운반/차량	중	운반장비 운행 전 통로와 조명 상태를 확인해야 하는 이유는 무엇인가?	운반차량, 조명, 통로, 차량	통로 확보, 조명, 동선 통제, 점검
71	장비/운반/차량	중	차량과 작업자가 같은 구역을 공유할 때 관리자가 우선 확보해야 할 것은 무엇인가?	차량, 동선, 출입통제	동선 분리, 출입통제, 신호수, 작업중지
72	장비/운반/차량	중	경사로를 이용하는 운반장비에 적재물이 불안정할 때 어떤 조치를 해야 하나?	운반장비, 적재, 경사로, 안전	적재 점검, 제동 확인, 작업중지, 보고
73	위험성평가/작업허가/기록관리	중	작업허가가 필요한 공정에서 관리자가 작업 전 확인해야 할 핵심 사항은 무엇인가?	작업허가, 위험성평가, 기록	작업허가, 위험성평가, 교육, 기록
74	위험성평가/작업허가/기록관리	중	위험성평가 결과를 작업 전 현장 작업자에게 공유하지 않으면 생길 수 있는 문제는 무엇인가?	위험성평가, 공유, 작업전	공유 부족, 작업중지, 교육, 기록
75	위험성평가/작업허가/기록관리	중	작업 절차가 바뀌었을 때 기존 기록을 그대로 쓰는 것이 적절한지 어떤 점을 확인해야 하나?	기록관리, 작업절차 변경, 위험성평가	기록 갱신, 수시평가, 변경 승인, 기록
76	사고보고/응급조치	중	사고 발생 직후 현장 관리자가 가장 먼저 해야 할 행동은 무엇인가?	사고보고, 응급조치, 작업중지	응급조치, 작업중지, 인원 확인, 보고
77	사고보고/응급조치	중	사고 현장에 추가 작업자가 접근할 때 관리자가 막아야 할 이유는 무엇인가?	사고현장, 현장보존, 접근금지	현장 보존, 접근금지, 보고, 조사
78	사고보고/응급조치	중	사고 후 응급처치와 함께 확보해야 할 자료는 무엇인가?	사고보고, 기록, 현장보존	응급조치, 현장보존, 기록, 보고
79	복합위험/중대재해 대응	중	여러 위험요인이 동시에 있는 작업에서 관리자가 우선순위를 어떻게 정해야 하나?	복합위험, 중대재해, 우선순위	위험 우선순위, 작업중지, 대피, 보고
80	복합위험/중대재해 대응	중	중대재해 의심 상황에서 관리자가 남겨야 할 초기 기록은 무엇인가?	중대재해, 기록, 보고	초기 기록, 현장보존, 보고, 재발방지
81	복합위험/중대재해 대응	중	현장에 여러 위험요인이 중첩될 때 작업 재개를 결정하기 전에 무엇을 확인해야 하나?	복합위험, 작업재개, 위험성평가	위험성평가 재확인, 재개 조건, 작업중지, 기록
82	전기안전	중	전기차단기 앞에 작업자가 서 있으면 관리자가 먼저 해야 할 조치는 무엇인가?	전기, 차단기, 작업중지	작업중지, 차단기 확인, 보호구, 교육
83	전기안전	중	전기 설비 점검 중 잠금표지가 사라졌을 때 관리자가 해야 할 행동은 무엇인가?	전기, 잠금표지, 점검	잠금표지 재설치, 작업중지, 보고
84	장비/운반/차량	중	운반장비 후진 시 작업자와의 충돌 위험을 줄이려면 무엇을 확인해야 하나?	운반장비, 후진, 충돌, 신호수	신호수, 후진 경보, 동선 분리, 작업중지
85	장비/운반/차량	중	차량 통로에 장애물이 있으면 관리자가 어떻게 처리해야 하나?	차량, 통로, 장애물, 점검	장애물 제거, 통로 확보, 작업중지, 보고
86	위험성평가/작업허가/기록관리	중	작업허가가 없는 작업을 발견했을 때 관리자가 우선해야 할 조치는 무엇인가?	작업허가, 작업중지, 승인	작업중지, 허가 확인, 보고, 기록
87	사고보고/응급조치	중	응급조치 후 추가 사고 위험이 남아 있다면 관리자가 다음으로 해야 할 일은 무엇인가?	응급조치, 추가위험, 작업중지	추가 위험 차단, 보고, 재개 조건, 기록
88	복합위험/중대재해 대응	중	작업 전 여러 위험요인이 동시에 보이면 관리자가 어떻게 우선 조치해야 하나?	복합위험, 위험요인, 우선순위	우선순위 조치, 작업중지, 보호구, 보고
89	전기안전	중	감전 우려가 있는 장비를 수리하려면 작업 전 무엇을 반드시 확인해야 하나?	전기, 감전, 정비, 차단	전원 차단, 잠금표지, 정비 절차, 교육
90	장비/운반/차량	중	운반차량 운행 중 경보음이 작동하지 않으면 관리자가 무엇을 해야 하나?	차량, 경보, 운행중지	운행중지, 점검, 보고, 안전확인
91	위험성평가/작업허가/기록관리	중	작업허가서 내용을 현장 작업자와 다르게 이해하고 있다면 관리자가 무엇을 해야 하나?	작업허가, 교육, 공유	작업허가 내용 공유, 교육, 기록
92	사고보고/응급조치	중	사고 발생 후 최초 보고를 누가 해야 하는지 관리자가 확인해야 할 이유는 무엇인가?	사고보고, 최초보고, 책임자	최초 보고, 책임자, 기록, 보고체계
93	복합위험/중대재해 대응	중	중대재해 의심 상황에서 현장 보존이 중요한 이유는 무엇인가?	중대재해, 현장보존, 조사	현장 보존, 보고, 조사, 기록
94	전기안전	중	전기 설비 부근에 물기나 습기가 있으면 관리자가 우선 해야 할 점은 무엇인가?	전기, 습기, 물기, 작업중지	작업중지, 접지/절연 확인, 보고, 안전확인
95	장비/운반/차량	중	운반장비와 보행자 동선이 겹칠 때 어떤 통제를 먼저 해야 하나?	차량, 보행자, 동선, 통제	동선 분리, 출입통제, 신호수, 작업중지
96	위험성평가/작업허가/기록관리	중	작업 전에 위험성평가 결과가 달라졌다면 관리자가 해야 할 조치는 무엇인가?	위험성평가, 재평가, 기록	재평가, 기록 갱신, 작업허가 재확인, 보고
97	사고보고/응급조치	중	응급조치 후 사후 조치로 관리자가 확인해야 할 항목은 무엇인가?	응급조치, 사후조치, 보고	사후조치, 보고, 기록, 재발방지
98	복합위험/중대재해 대응	중	여러 위험요인으로 작업 재개가 불확실할 때 어떤 판단을 해야 하나?	복합위험, 재개, 작업중지	작업중지, 재개 조건 확인, 위험성평가, 보고
99	전기안전	중	전기 설비 작업 중 자격증이 없는 작업자가 참여한다면 관리자가 무엇을 해야 하나?	전기, 자격, 작업허가	작업중지, 자격 확인, 보고, 교육
100	복합위험/중대재해 대응	중	중대재해 우려가 있는 상황에서 관리자가 작업자에게 무엇을 먼저 안내해야 하나?	중대재해, 대피, 작업중지	대피, 작업중지, 보고, 재발방지
101	분진 관리	중	천공 작업 전에 분진 발생을 줄이기 위해 살수와 집진 상태를 어떤 기준으로 확인해야 하나?	분진 관리, 천공, 살수, 집진, 분진 저감, 작업 전 점검, 작업환경측정	
102	분진 관리	상	굴진 작업 중 분진이 평소보다 많이 발생하면 관리자가 우선 확인하고 조치해야 할 사항은 무엇인가?	분진 관리, 굴진, 분진 발생, 작업중지, 살수, 집진, 환기, 원인 확인	
103	분진 관리	중	파쇄 작업장에서 비산먼지가 주변 통로까지 퍼질 때 작업관리자는 어떤 통제조치를 해야 하나?	분진 관리, 파쇄, 비산먼지, 통로, 출입통제, 살수, 청소, 집진	
104	분진 관리	중	분진이 많이 쌓인 작업장 바닥을 청소하기 전에 관리자가 확인해야 할 안전조치는 무엇인가?	분진 관리, 청소, 퇴적분진, 비산 방지, 살수, 환기, 점화원 관리, 작업자 통제	
105	분진 관리	상	작업환경측정 결과 분진 관리가 필요하다고 판단되면 작업 전 회의에서 어떤 내용을 공유해야 하나?	분진 관리, 작업환경측정, 작업 전 회의, 위험요인 공유, 저감대책, 기록관리	
106	보호구/PPE	중	작업 시작 전 방진마스크를 지급할 때 관리자가 착용 적합성을 어떻게 확인해야 하나?	보호구, PPE, 방진마스크, 지급, 착용상태, 밀착 확인, 교육	
107	보호구/PPE	중	작업자가 안전모를 착용했지만 턱끈을 하지 않은 경우 관리자는 어떻게 조치해야 하나?	보호구, PPE, 안전모, 턱끈, 착용상태, 작업중지, 시정조치	
108	보호구/PPE	중	보호장갑이나 보안경이 파손된 상태로 작업하려는 작업자가 있을 때 관리자는 무엇을 확인해야 하나?	보호구, PPE, 보호장갑, 보안경, 파손, 교체, 지급현황, 작업 전 점검	
109	보호구/PPE	상	유해가스 측정 작업 전에 작업자에게 필요한 보호구와 착용 상태를 어떻게 확인해야 하나?	보호구, PPE, 유해가스, 측정작업, 보호구 착용, 착용상태, 작업 전 확인	
110	보호구/PPE	상	보호구를 지급했는데 작업자가 반복적으로 미착용하는 경우 관리자는 어떤 절차로 조치해야 하나?	보호구, PPE, 미착용, 교육, 시정조치, 작업중지, 기록, 관리감독	
